IsMachine	GpPath	GpName	RegKey	RegName	ASR-Audit	ASR-Audit||Option	ASR-Audit||Type	ASR-Block	ASR-Block||Option	ASR-Block||Type	ASR-Off	ASR-Off||Option	ASR-Off||Type	ASR-Warn	ASR-Warn||Option	ASR-Warn||Type	BlockMacrosFromRunningInOfficeFilesFromTheInternet	BlockMacrosFromRunningInOfficeFilesFromTheInternet||Option	BlockMacrosFromRunningInOfficeFilesFromTheInternet||Type	DisableAllUnsignedMacros-basic	DisableAllUnsignedMacros-basic||Option	DisableAllUnsignedMacros-basic||Type	DisableAllUnsignedMacros-reqTrustedPub	DisableAllUnsignedMacros-reqTrustedPub||Option	DisableAllUnsignedMacros-reqTrustedPub||Type	DisableAllUnsignedMacros-strict	DisableAllUnsignedMacros-strict||Option	DisableAllUnsignedMacros-strict||Type	DisableUnsignedVbaAddins	DisableUnsignedVbaAddins||Option	DisableUnsignedVbaAddins||Type	DisableAllTrustedLocations	DisableAllTrustedLocations||Option	DisableAllTrustedLocations||Type	DisableAllVBA	DisableAllVBA||Option	DisableAllVBA||Type	LegacyFileBlock	LegacyFileBlock||Option	LegacyFileBlock||Type	ScanEncryptedMacros	ScanEncryptedMacros||Option	ScanEncryptedMacros||Type
true	Microsoft Office 2016 (Machine)\Security Settings\	Disable VBA for Office applications	software\policies\microsoft\office\16.0\common	vbaoff																															1	Enabled	REG_DWORD						
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	Configure Attack Surface Reduction rules	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR	ExploitGuard_ASR_Rules	1	Enabled	REG_DWORD	1	Enabled	REG_DWORD	1	Enabled	REG_DWORD	1	Enabled	REG_DWORD																											
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	ASR Rule: Block Office communication application from creating child processes	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules	26190899-1602-49e8-8b27-eb1d0a1ce869	2	Audit	REG_SZ	1	Block	REG_SZ	0	Off	REG_SZ	6	Warn	REG_SZ																											
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	ASR Rule: Block Office applications from creating executable content	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules	3b576869-a4ec-4529-8536-b80a7769e899	2	Audit	REG_SZ	1	Block	REG_SZ	0	Off	REG_SZ	6	Warn	REG_SZ																											
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	ASR Rule: Block Office applications from injecting code into other processes	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules	75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84	2	Audit	REG_SZ	1	Block	REG_SZ	0	Off	REG_SZ	6	Warn	REG_SZ																											
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	ASR Rule: Block Win32 API calls from Office macro	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules	92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B	2	Audit	REG_SZ	1	Block	REG_SZ	0	Off	REG_SZ	6	Warn	REG_SZ																											
true	Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\	ASR Rule: Block all Office applications from creating child processes	Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules	d4f940ab-401b-4efc-aadc-ad5f3c50688a	2	Audit	REG_SZ	1	Block	REG_SZ	0	Off	REG_SZ	6	Warn	REG_SZ																											
true	Windows Components\Microsoft Defender Antivirus\Real-time Protection\	Turn off real-time protection	Software\Policies\Microsoft\Windows Defender\Real-Time Protection	DisableRealtimeMonitoring	0	Disabled	REG_DWORD	0	Disabled	REG_DWORD	0	Disabled	REG_DWORD	0	Disabled	REG_DWORD																											
false	Microsoft Access 2016\Application Settings\Security\Trust Center\	Block macros from running in Office files from the Internet	software\policies\microsoft\office\16.0\access\security	blockcontentexecutionfrominternet													1	Enabled	REG_DWORD																								
false	Microsoft Access 2016\Application Settings\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\access\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
